method,dataset,unlearning_type,ratio,selection,seed,n,utility__accuracy_after_n,utility__accuracy_after_mean,utility__accuracy_after_std,utility__accuracy_after_min,utility__accuracy_after_max,utility__accuracy_drop_n,utility__accuracy_drop_mean,utility__accuracy_drop_std,utility__accuracy_drop_min,utility__accuracy_drop_max,utility__f1_macro_after_n,utility__f1_macro_after_mean,utility__f1_macro_after_std,utility__f1_macro_after_min,utility__f1_macro_after_max,structure__degree_kl_divergence_n,structure__degree_kl_divergence_mean,structure__degree_kl_divergence_std,structure__degree_kl_divergence_min,structure__degree_kl_divergence_max,structure__clustering_coefficient_change_n,structure__clustering_coefficient_change_mean,structure__clustering_coefficient_change_std,structure__clustering_coefficient_change_min,structure__clustering_coefficient_change_max,structure__component_count_change_n,structure__component_count_change_mean,structure__component_count_change_std,structure__component_count_change_min,structure__component_count_change_max,privacy__weak_auc_n,privacy__weak_auc_mean,privacy__weak_auc_std,privacy__weak_auc_min,privacy__weak_auc_max,privacy__medium_auc_n,privacy__medium_auc_mean,privacy__medium_auc_std,privacy__medium_auc_min,privacy__medium_auc_max,privacy__strong_auc_n,privacy__strong_auc_mean,privacy__strong_auc_std,privacy__strong_auc_min,privacy__strong_auc_max,privacy__overall_mia_auc_n,privacy__overall_mia_auc_mean,privacy__overall_mia_auc_std,privacy__overall_mia_auc_min,privacy__overall_mia_auc_max,privacy__privacy_score_n,privacy__privacy_score_mean,privacy__privacy_score_std,privacy__privacy_score_min,privacy__privacy_score_max,efficiency__unlearn_time_seconds_n,efficiency__unlearn_time_seconds_mean,efficiency__unlearn_time_seconds_std,efficiency__unlearn_time_seconds_min,efficiency__unlearn_time_seconds_max,efficiency__online_wall_clock_seconds_n,efficiency__online_wall_clock_seconds_mean,efficiency__online_wall_clock_seconds_std,efficiency__online_wall_clock_seconds_min,efficiency__online_wall_clock_seconds_max,efficiency__offline_preprocessing_seconds_n,efficiency__offline_preprocessing_seconds_mean,efficiency__offline_preprocessing_seconds_std,efficiency__offline_preprocessing_seconds_min,efficiency__offline_preprocessing_seconds_max,efficiency__speedup_vs_retrain_n,efficiency__speedup_vs_retrain_mean,efficiency__speedup_vs_retrain_std,efficiency__speedup_vs_retrain_min,efficiency__speedup_vs_retrain_max
hasi_hier_anchor_rq3_repairfix,pubmed,node,0.05,hub_neighbor_train,123,1,1,0.861815415821501,0.0,0.861815415821501,0.861815415821501,1,0.015466531440162301,0.0,0.015466531440162301,0.015466531440162301,1,0.8546569194009517,0.0,0.8546569194009517,0.8546569194009517,1,0.10854731493484641,0.0,0.10854731493484641,0.10854731493484641,1,-0.005929247050780621,0.0,-0.005929247050780621,-0.005929247050780621,1,1465.0,0.0,1465.0,1465.0,1,0.625970142439737,0.0,0.625970142439737,0.625970142439737,1,0.9490932021548576,0.0,0.9490932021548576,0.9490932021548576,1,0.740472630569759,0.0,0.740472630569759,0.740472630569759,1,0.740472630569759,0.0,0.740472630569759,0.740472630569759,1,0.519054738860482,0.0,0.519054738860482,0.519054738860482,1,1905.8827028609812,0.0,1905.8827028609812,1905.8827028609812,1,2041.5948578738607,0.0,2041.5948578738607,2041.5948578738607,0,,,,,0,,,,
hasi_hier_anchor_rq3_repairfix,pubmed,node,0.05,hub_neighbor_train,2024,1,1,0.8729716024340771,0.0,0.8729716024340771,0.8729716024340771,1,0.0015212981744421317,0.0,0.0015212981744421317,0.0015212981744421317,1,0.8657712812002064,0.0,0.8657712812002064,0.8657712812002064,1,0.10604321863094907,0.0,0.10604321863094907,0.10604321863094907,1,-0.004132207389857145,0.0,-0.004132207389857145,-0.004132207389857145,1,1457.0,0.0,1457.0,1457.0,1,0.556493676953981,0.0,0.556493676953981,0.556493676953981,1,0.9906409788166545,0.0,0.9906409788166545,0.9906409788166545,1,0.708748972790358,0.0,0.708748972790358,0.708748972790358,1,0.708748972790358,0.0,0.708748972790358,0.708748972790358,1,0.582502054419284,0.0,0.582502054419284,0.582502054419284,1,1288.6243982489686,0.0,1288.6243982489686,1288.6243982489686,1,1424.243055572966,0.0,1424.243055572966,1424.243055572966,0,,,,,0,,,,
hasi_hier_anchor_rq3_repairfix,pubmed,node,0.05,hub_neighbor_train,42,1,1,0.8646044624746451,0.0,0.8646044624746451,0.8646044624746451,1,0.0020283975659228792,0.0,0.0020283975659228792,0.0020283975659228792,1,0.8587743554449081,0.0,0.8587743554449081,0.8587743554449081,1,0.11353406911895561,0.0,0.11353406911895561,0.11353406911895561,1,-0.004949400638482107,0.0,-0.004949400638482107,-0.004949400638482107,1,1697.0,0.0,1697.0,1697.0,1,0.5750348109934259,0.0,0.5750348109934259,0.5750348109934259,1,0.9979341672753835,0.0,0.9979341672753835,0.9979341672753835,1,0.5798141891891891,0.0,0.5798141891891891,0.5798141891891891,1,0.5798141891891891,0.0,0.5798141891891891,0.5798141891891891,1,0.8403716216216217,0.0,0.8403716216216217,0.8403716216216217,1,1371.3407493389677,0.0,1371.3407493389677,1371.3407493389677,1,1507.4075241459068,0.0,1507.4075241459068,1507.4075241459068,0,,,,,0,,,,
hasi_no_anchor_rq3_repairfix,pubmed,node,0.05,hub_neighbor_train,123,1,1,0.8724645030425964,0.0,0.8724645030425964,0.8724645030425964,1,0.004817444219066935,0.0,0.004817444219066935,0.004817444219066935,1,0.8648034575482768,0.0,0.8648034575482768,0.8648034575482768,1,0.10854731493484641,0.0,0.10854731493484641,0.10854731493484641,1,-0.005929247050780621,0.0,-0.005929247050780621,-0.005929247050780621,1,1465.0,0.0,1465.0,1465.0,1,0.5730174853907962,0.0,0.5730174853907962,0.5730174853907962,1,0.9938567156683711,0.0,0.9938567156683711,0.9938567156683711,1,0.6236332405040176,0.0,0.6236332405040176,0.6236332405040176,1,0.6236332405040176,0.0,0.6236332405040176,0.6236332405040176,1,0.7527335189919648,0.0,0.7527335189919648,0.7527335189919648,1,4.075747753959149,0.0,4.075747753959149,4.075747753959149,1,140.49763678992167,0.0,140.49763678992167,140.49763678992167,0,,,,,0,,,,
hasi_no_anchor_rq3_repairfix,pubmed,node,0.05,hub_neighbor_train,2024,1,1,0.8689148073022313,0.0,0.8689148073022313,0.8689148073022313,1,0.005578093306288001,0.0,0.005578093306288001,0.005578093306288001,1,0.8616279187856491,0.0,0.8616279187856491,0.8616279187856491,1,0.10604321863094907,0.0,0.10604321863094907,0.10604321863094907,1,-0.004132207389857145,0.0,-0.004132207389857145,-0.004132207389857145,1,1457.0,0.0,1457.0,1457.0,1,0.5444325237399562,0.0,0.5444325237399562,0.5444325237399562,1,0.9977857925493061,0.0,0.9977857925493061,0.9977857925493061,1,0.5960355414536158,0.0,0.5960355414536158,0.5960355414536158,1,0.5960355414536158,0.0,0.5960355414536158,0.5960355414536158,1,0.8079289170927684,0.0,0.8079289170927684,0.8079289170927684,1,3.9810551539994776,0.0,3.9810551539994776,3.9810551539994776,1,143.32349177310243,0.0,143.32349177310243,143.32349177310243,0,,,,,0,,,,
hasi_no_anchor_rq3_repairfix,pubmed,node,0.05,hub_neighbor_train,42,1,1,0.8600405679513184,0.0,0.8600405679513184,0.8600405679513184,1,0.006592292089249496,0.0,0.006592292089249496,0.006592292089249496,1,0.8537817868130381,0.0,0.8537817868130381,0.8537817868130381,1,0.11353406911895561,0.0,0.11353406911895561,0.11353406911895561,1,-0.004949400638482107,0.0,-0.004949400638482107,-0.004949400638482107,1,1697.0,0.0,1697.0,1697.0,1,0.57288623082542,0.0,0.57288623082542,0.57288623082542,1,0.9987873219503287,0.0,0.9987873219503287,0.9987873219503287,1,0.5599062956537618,0.0,0.5599062956537618,0.5599062956537618,1,0.5599062956537618,0.0,0.5599062956537618,0.5599062956537618,1,0.8801874086924764,0.0,0.8801874086924764,0.8801874086924764,1,4.040771904867142,0.0,4.040771904867142,4.040771904867142,1,149.47358745709062,0.0,149.47358745709062,149.47358745709062,0,,,,,0,,,,
hasi_strong_anchor_rq3_repairfix,pubmed,node,0.05,hub_neighbor_train,123,1,1,0.8686612576064908,0.0,0.8686612576064908,0.8686612576064908,1,0.008620689655172487,0.0,0.008620689655172487,0.008620689655172487,1,0.8588968105021463,0.0,0.8588968105021463,0.8588968105021463,1,0.10854731493484641,0.0,0.10854731493484641,0.10854731493484641,1,-0.005929247050780621,0.0,-0.005929247050780621,-0.005929247050780621,1,1465.0,0.0,1465.0,1465.0,1,0.6522552958363769,0.0,0.6522552958363769,0.6522552958363769,1,0.9351374178232287,0.0,0.9351374178232287,0.9351374178232287,1,0.7661756985025566,0.0,0.7661756985025566,0.7661756985025566,1,0.7661756985025566,0.0,0.7661756985025566,0.7661756985025566,1,0.46764860299488675,0.0,0.46764860299488675,0.46764860299488675,1,1973.2020062529482,0.0,1973.2020062529482,1973.2020062529482,1,2110.572146191029,0.0,2110.572146191029,2110.572146191029,0,,,,,0,,,,
hasi_strong_anchor_rq3_repairfix,pubmed,node,0.05,hub_neighbor_train,2024,1,1,0.8744929006085193,0.0,0.8744929006085193,0.8744929006085193,1,0.0,0.0,0.0,0.0,1,0.8673521054284322,0.0,0.8673521054284322,0.8673521054284322,1,0.10604321863094907,0.0,0.10604321863094907,0.10604321863094907,1,-0.004132207389857145,0.0,-0.004132207389857145,-0.004132207389857145,1,1457.0,0.0,1457.0,1457.0,1,0.572637988495252,0.0,0.572637988495252,0.572637988495252,1,0.9807597927319212,0.0,0.9807597927319212,0.9807597927319212,1,0.7311421429875822,0.0,0.7311421429875822,0.7311421429875822,1,0.7311421429875822,0.0,0.7311421429875822,0.7311421429875822,1,0.5377157140248356,0.0,0.5377157140248356,0.5377157140248356,1,1298.7668991419487,0.0,1298.7668991419487,1298.7668991419487,1,1443.8380254600197,0.0,1443.8380254600197,1443.8380254600197,0,,,,,0,,,,
hasi_strong_anchor_rq3_repairfix,pubmed,node,0.05,hub_neighbor_train,42,1,1,0.8630831643002028,0.0,0.8630831643002028,0.8630831643002028,1,0.003549695740365122,0.0,0.003549695740365122,0.003549695740365122,1,0.8584436217828714,0.0,0.8584436217828714,0.8584436217828714,1,0.11353406911895561,0.0,0.11353406911895561,0.11353406911895561,1,-0.004949400638482107,0.0,-0.004949400638482107,-0.004949400638482107,1,1697.0,0.0,1697.0,1697.0,1,0.5994139198319941,0.0,0.5994139198319941,0.5994139198319941,1,0.9768421292914536,0.0,0.9768421292914536,0.9768421292914536,1,0.580450488495252,0.0,0.580450488495252,0.580450488495252,1,0.580450488495252,0.0,0.580450488495252,0.580450488495252,1,0.8390990230094959,0.0,0.8390990230094959,0.8390990230094959,1,1402.3283630339429,0.0,1402.3283630339429,1402.3283630339429,1,1539.6966937619727,0.0,1539.6966937619727,1539.6966937619727,0,,,,,0,,,,
